id,name,host_id,PriceSeq,Price,ReviewSeq,ReviewScore,NBSeq
14727253,"Charming House in Cambridge C36W",12576232,1,50.00,5,94,11
14754163,"One Bedroom Close to MIT (1522)",51079261,1,100.00,5,96,4
14758794,"One Bedroom Close to MIT (1552)",51079261,1,100.00,5,98,4
14759578,"East Cambridge, MIT, Kendall & free parking!",92029664,3,158.00,5,96,5
14841218,"Quiet 2 Bedroom Apartment near MIT, BU & HBS",5074009,3,197.00,5,100,4
14847982,"Beautiful 2 bed in Harvard Square",92925188,2,101.00,5,94,6
14858857,"Sunny & spacious room in a townhouse by Kendal!",23983523,1,45.00,5,91,5
14886335,"Spacious room in a townhouse by Kendall Square!",23983523,1,45.00,5,91,5
14914342,"Three-bedroom Harvard Square condo.",8944743,5,255.00,5,100,6
14974786,"Phil's Apartment at Harvard - Harvard Room",6627353,2,144.00,5,99,6
15022874,"Phil's Apartment at Harvard - MIT Room",6627353,2,147.00,5,100,6
15023471,"Phil's Apartment at Harvard - Two Rooms",6627353,5,304.00,5,100,6
15056521,"Cambridge Vacation Rental Rooms M807 #2",32532791,3,155.00,5,99,11
15125756,"Prime location Harvard/Porter Sq",3381894,1,75.00,5,98,7
15235520,"One Bedroom Close to MIT (1532)",51079261,1,100.00,5,95,4
15285943,"Fully Furnished 1BR Apt | Gym | Panoramic views",95459395,5,639.00,5,100,5
15295354,"Luxury 1BR Apt | Washer/D | Gym | Cambridge MA",95459395,5,639.00,5,100,5
15295836,"Lavish 1BR Apt | Gym | Panoramic Views | Boston",95459395,5,639.00,5,100,5
15295997,"Spacious 2BR Apt | Washer/D | Panoramic Views",95459395,5,839.00,5,93,5
15324620,"Near Harvard, Central  Square,  and Fenway Park",21647935,5,350.00,5,98,9
15369556,"Private & Clean 2BR Apt | Gym | East Cambridge",95459395,5,839.00,5,100,2
15451457,"1 Bedroom in the Heart of Kendall Square",43450256,1,60.00,4,89,5
15512578,"private studio near Harvard/MIT",11659356,2,150.00,5,99,11
15523233,"On River/Harvard Sq. two blocks",87618246,2,128.00,5,91,13
